      Y      X1      X2        X3      d
18.3317 22.7211 12.3291  0.711192 12.539
 7.8592 12.1609 11.9741 -0.893261  9.859
12.9064 19.6335 17.8114 -0.477188  8.362
15.0687 24.4380 13.5535  0.958732 12.933
19.3682 20.2542 15.8870 -0.973117  1.931
11.3118 13.2919 11.8925 -0.803819  7.327
 9.7161 10.5196  9.2274  2.010079  9.912
17.0374 14.7724 10.5719 -0.399090 13.996
22.9470 25.7600 24.2454  3.043117 27.800
16.6391 21.3044 13.2402  0.082368  3.367
18.3302 19.7171 14.3610  0.357429 11.394
 9.5256 15.8924 12.7287 -2.037230 13.749
17.1163 17.3671 10.0713 -1.527791 10.040
13.0017 15.1628 11.6767  0.222422  3.173
 6.8732 14.1303  8.9228  0.336540  7.884
 5.7084 11.9828  8.5803  0.367714  7.396
16.8038 13.2076  9.9812  0.147289  9.143
14.5338 20.8628 12.9171  0.358817 10.786
25.8515 25.1580 15.1360  0.112276 15.218
17.5598 14.7741  8.4525 -1.456913 11.148
 7.3372 12.4128 11.0234 -0.662667  9.577
19.7286 10.7301 11.0206  1.656770  5.138
12.1441 15.2540 11.2214  0.632307  3.882
 8.9658 10.1053  7.9175  0.271085  6.830
22.5644 26.0275 14.7107 -1.435266 15.498
18.5942 17.0681 10.3710 -0.329506 11.764
18.7024 20.8671  9.7997  0.266738 13.216
 9.9590 13.5069  7.5262 -0.744346  6.810
14.2544 14.5052 14.3817 -0.988687  7.549
 6.8887  8.3220  5.4169 -0.299963  6.546
10.8439 11.9662 10.2691  0.822382  3.988
30.0308 27.9039 13.2669  1.351474 11.714
20.5133 18.8905 16.5348  1.928737  2.539
18.5239 18.1090 12.5217  0.503135  5.879
14.8461 14.2785  7.7408  1.702849  9.227
14.0710 14.7103  8.2513  0.123117  3.520
14.4404 22.9112 14.0505 -0.246526 14.139
12.6133 16.3773 13.4729 -3.050446  9.566
11.5065 14.9051  9.0701  0.534291  3.227
14.1484 13.9296 13.6978  0.515258 11.929
15.6196 20.3973 12.9156  1.714120 15.109
 6.7778 16.4430  8.1583  2.114066 14.513
16.4684 19.7104 10.8821 -0.876328 10.928
19.9676 23.3107 13.4501 -0.873400  2.835
 6.1706 12.4205 10.4740 -2.211707  7.157
 9.6229 13.3141  7.7201 -2.027199 10.499
 9.5208 14.3994 11.2958 -0.009013  9.214
 8.3683 13.6372 11.1351 -1.272615  9.381
21.0208 23.3162 13.3931 -0.385791 13.829
 6.7220 11.6601  7.3953  1.631765  8.699
11.3142 16.0465  7.3111 -0.494200  8.601
